Category: All categories,
Month,philosophy: (United States)
2004-01,86
2004-02,89
2004-03,92
2004-04,93
2004-05,79
2004-06,69
2004-07,63
2004-08,63
2004-09,81
2004-10,96
2004-11,100
2004-12,96
2005-01,80
2005-02,87
2005-03,89
2005-04,93
2005-05,81
2005-06,58
2005-07,52
2005-08,54
2005-09,77
2005-10,87
2005-11,88
2005-12,88
2006-01,73
2006-02,79
2006-03,76
2006-04,80
2006-05,67
2006-06,51
2006-07,45
2006-08,51
2006-09,70
2006-10,74
2006-11,71
2006-12,71
2007-01,61
2007-02,66
2007-03,64
2007-04,65
2007-05,58
2007-06,48
2007-07,42
2007-08,47
2007-09,62
2007-10,69
2007-11,68
2007-12,64
2008-01,60
2008-02,63
2008-03,58
2008-04,66
2008-05,55
2008-06,43
2008-07,41
2008-08,45
2008-09,61
2008-10,65
2008-11,72
2008-12,66
2009-01,56
2009-02,66
2009-03,62
2009-04,67
2009-05,56
2009-06,46
2009-07,42
2009-08,46
2009-09,66
2009-10,68
2009-11,76
2009-12,68
2010-01,60
2010-02,64
2010-03,63
2010-04,66
2010-05,57
2010-06,44
2010-07,37
2010-08,40
2010-09,56
2010-10,58
2010-11,61
2010-12,60
2011-01,56
2011-02,59
2011-03,61
2011-04,63
2011-05,55
2011-06,44
2011-07,42
2011-08,46
2011-09,62
2011-10,61
2011-11,62
2011-12,60
2012-01,53
2012-02,58
2012-03,54
2012-04,54
2012-05,50
2012-06,38
2012-07,37
2012-08,42
2012-09,56
2012-10,57
2012-11,54
2012-12,53
2013-01,49
2013-02,52
2013-03,48
2013-04,53
2013-05,46
2013-06,36
2013-07,34
2013-08,39
2013-09,55
2013-10,54
2013-11,54
2013-12,50
2014-01,47
2014-02,52
2014-03,48
2014-04,51
2014-05,46
2014-06,37
2014-07,34
2014-08,38
2014-09,53
2014-10,51
2014-11,49
2014-12,49
2015-01,43
2015-02,49
2015-03,46
2015-04,50
2015-05,43
2015-06,33
2015-07,32
2015-08,36
2015-09,52
2015-10,50
2015-11,49
2015-12,47